model,behaviour,domain,language,pooling,layer,mean_cosine_distance,mean_cosine_similarity,n_pairs
Qwen2.5-1.5B,authority_influence,education_general_knowledge,en,mean_pooled,10,0.11431451304021242,0.8856854869597875,4
Qwen2.5-1.5B,authority_influence,education_general_knowledge,en,mean_pooled,11,0.10543225475094678,0.8945677452490532,4
Qwen2.5-1.5B,authority_influence,education_general_knowledge,en,mean_pooled,12,0.09605505159084854,0.9039449484091515,4
Qwen2.5-1.5B,authority_influence,education_general_knowledge,en,mean_pooled,13,0.10079446267405315,0.8992055373259469,4
Qwen2.5-1.5B,authority_influence,education_general_knowledge,en,mean_pooled,14,0.10177798420811973,0.8982220157918803,4
Qwen2.5-1.5B,authority_influence,education_general_knowledge,en,mean_pooled,15,0.09751893079229826,0.9024810692077018,4
Qwen2.5-1.5B,authority_influence,education_general_knowledge,en,mean_pooled,16,0.08974199073863656,0.9102580092613635,4
Qwen2.5-1.5B,authority_influence,education_general_knowledge,en,mean_pooled,17,0.08698518878328265,0.9130148112167173,4
Qwen2.5-1.5B,authority_influence,education_general_knowledge,en,mean_pooled,18,0.10143411478162384,0.8985658852183762,4
Qwen2.5-1.5B,authority_influence,education_general_knowledge,en,mean_pooled,19,0.09838829758266726,0.9016117024173327,4
Qwen2.5-1.5B,authority_influence,education_general_knowledge,en,mean_pooled,20,0.09091512519783201,0.909084874802168,4
Qwen2.5-1.5B,authority_influence,education_general_knowledge,en,mean_pooled,21,0.09622417544042858,0.9037758245595714,4
Qwen2.5-1.5B,authority_influence,education_general_knowledge,en,mean_pooled,22,0.0787074234608747,0.9212925765391253,4
Qwen2.5-1.5B,authority_influence,education_general_knowledge,en,mean_pooled,23,0.07181088133115593,0.928189118668844,4
Qwen2.5-1.5B,authority_influence,education_general_knowledge,en,mean_pooled,24,0.05777781426619505,0.9422221857338049,4
Qwen2.5-1.5B,authority_influence,education_general_knowledge,en,mean_pooled,25,0.05038247386062791,0.9496175261393721,4
Qwen2.5-1.5B,authority_influence,education_general_knowledge,en,mean_pooled,26,0.04147224853168768,0.9585277514683124,4
Qwen2.5-1.5B,authority_influence,education_general_knowledge,en,mean_pooled,27,0.027898971891074542,0.9721010281089255,4
Qwen2.5-1.5B,authority_influence,education_general_knowledge,en,mean_pooled,28,0.04939346583266699,0.950606534167333,4
Qwen2.5-1.5B,delusion_acceptance,education_general_knowledge,en,last_token,0,0.0,1.0,2
Qwen2.5-1.5B,delusion_acceptance,education_general_knowledge,en,last_token,1,0.00728511060727749,0.9927148893927225,2
Qwen2.5-1.5B,delusion_acceptance,education_general_knowledge,en,last_token,2,0.01160856141972938,0.9883914385802706,2
Qwen2.5-1.5B,delusion_acceptance,education_general_knowledge,en,last_token,3,0.015265196332681197,0.9847348036673188,2
Qwen2.5-1.5B,delusion_acceptance,education_general_knowledge,en,last_token,4,0.034711856100051175,0.9652881438999488,2
Qwen2.5-1.5B,delusion_acceptance,education_general_knowledge,en,last_token,5,0.03263612061194493,0.967363879388055,2
Qwen2.5-1.5B,delusion_acceptance,education_general_knowledge,en,last_token,6,0.028161513208967426,0.9718384867910326,2
Qwen2.5-1.5B,delusion_acceptance,education_general_knowledge,en,last_token,7,0.027017288730544653,0.9729827112694553,2
Qwen2.5-1.5B,delusion_acceptance,education_general_knowledge,en,last_token,8,0.028234812485358973,0.971765187514641,2
Qwen2.5-1.5B,delusion_acceptance,education_general_knowledge,en,last_token,9,0.02727818902654594,0.9727218109734541,2
Qwen2.5-1.5B,delusion_acceptance,education_general_knowledge,en,last_token,10,0.025187739231402106,0.9748122607685978,2
Qwen2.5-1.5B,delusion_acceptance,education_general_knowledge,en,last_token,11,0.02503776827620402,0.974962231723796,2
Qwen2.5-1.5B,delusion_acceptance,education_general_knowledge,en,last_token,12,0.02428139727146922,0.9757186027285307,2
Qwen2.5-1.5B,delusion_acceptance,education_general_knowledge,en,last_token,13,0.022319711213610927,0.9776802887863891,2
Qwen2.5-1.5B,delusion_acceptance,education_general_knowledge,en,last_token,14,0.0268182705317222,0.9731817294682779,2
Qwen2.5-1.5B,delusion_acceptance,education_general_knowledge,en,last_token,15,0.019552950684938286,0.9804470493150617,2
Qwen2.5-1.5B,delusion_acceptance,education_general_knowledge,en,last_token,16,0.027496327930314424,0.9725036720696856,2
Qwen2.5-1.5B,delusion_acceptance,education_general_knowledge,en,last_token,17,0.04029221173028269,0.9597077882697174,2
Qwen2.5-1.5B,delusion_acceptance,education_general_knowledge,en,last_token,18,0.054646716899229175,0.9453532831007708,2
Qwen2.5-1.5B,delusion_acceptance,education_general_knowledge,en,last_token,19,0.059844271180138964,0.940155728819861,2
Qwen2.5-1.5B,delusion_acceptance,education_general_knowledge,en,last_token,20,0.06262306892281277,0.9373769310771872,2
Qwen2.5-1.5B,delusion_acceptance,education_general_knowledge,en,last_token,21,0.08197907926852688,0.9180209207314731,2
Qwen2.5-1.5B,delusion_acceptance,education_general_knowledge,en,last_token,22,0.08254857925884884,0.9174514207411512,2
Qwen2.5-1.5B,delusion_acceptance,education_general_knowledge,en,last_token,23,0.08680837187259055,0.9131916281274095,2
Qwen2.5-1.5B,delusion_acceptance,education_general_knowledge,en,last_token,24,0.07520937092650992,0.9247906290734901,2
Qwen2.5-1.5B,delusion_acceptance,education_general_knowledge,en,last_token,25,0.0787261231342648,0.9212738768657351,2
Qwen2.5-1.5B,delusion_acceptance,education_general_knowledge,en,last_token,26,0.0619965479224302,0.9380034520775697,2
Qwen2.5-1.5B,delusion_acceptance,education_general_knowledge,en,last_token,27,0.04957376295457383,0.9504262370454262,2
Qwen2.5-1.5B,delusion_acceptance,education_general_knowledge,en,last_token,28,0.09364129655069292,0.906358703449307,2
Qwen2.5-1.5B,delusion_acceptance,education_general_knowledge,en,mean_pooled,0,0.24524619815570825,0.7547538018442917,2
Qwen2.5-1.5B,delusion_acceptance,education_general_knowledge,en,mean_pooled,1,0.14081876221907957,0.8591812377809205,2
Qwen2.5-1.5B,delusion_acceptance,education_general_knowledge,en,mean_pooled,2,0.08746947942165084,0.9125305205783492,2
Qwen2.5-1.5B,delusion_acceptance,education_general_knowledge,en,mean_pooled,3,0.11885417097874773,0.8811458290212523,2
Qwen2.5-1.5B,delusion_acceptance,education_general_knowledge,en,mean_pooled,4,0.12019312159714107,0.879806878402859,2
Qwen2.5-1.5B,delusion_acceptance,education_general_knowledge,en,mean_pooled,5,0.12468217950225152,0.8753178204977485,2
Qwen2.5-1.5B,delusion_acceptance,education_general_knowledge,en,mean_pooled,6,0.10228519161287569,0.8977148083871243,2
Qwen2.5-1.5B,delusion_acceptance,education_general_knowledge,en,mean_pooled,7,0.09613239199023471,0.9038676080097653,2
Qwen2.5-1.5B,delusion_acceptance,education_general_knowledge,en,mean_pooled,8,0.0985510866430167,0.9014489133569833,2
Qwen2.5-1.5B,delusion_acceptance,education_general_knowledge,en,mean_pooled,9,0.11330126856055178,0.8866987314394482,2
Qwen2.5-1.5B,delusion_acceptance,education_general_knowledge,en,mean_pooled,10,0.12715221824341794,0.8728477817565821,2
Qwen2.5-1.5B,delusion_acceptance,education_general_knowledge,en,mean_pooled,11,0.11648251035423929,0.8835174896457607,2
Qwen2.5-1.5B,delusion_acceptance,education_general_knowledge,en,mean_pooled,12,0.10892980580660155,0.8910701941933985,2
Qwen2.5-1.5B,delusion_acceptance,education_general_knowledge,en,mean_pooled,13,0.10760404473552665,0.8923959552644734,2
Qwen2.5-1.5B,delusion_acceptance,education_general_knowledge,en,mean_pooled,14,0.10556885652686032,0.8944311434731397,2
Qwen2.5-1.5B,delusion_acceptance,education_general_knowledge,en,mean_pooled,15,0.10079687955592986,0.8992031204440701,2
Qwen2.5-1.5B,delusion_acceptance,education_general_knowledge,en,mean_pooled,16,0.10729692971170735,0.8927030702882927,2
Qwen2.5-1.5B,delusion_acceptance,education_general_knowledge,en,mean_pooled,17,0.11142237667512428,0.8885776233248757,2
Qwen2.5-1.5B,delusion_acceptance,education_general_knowledge,en,mean_pooled,18,0.1361000220938005,0.8638999779061995,2
Qwen2.5-1.5B,delusion_acceptance,education_general_knowledge,en,mean_pooled,19,0.12327396907628857,0.8767260309237115,2
Qwen2.5-1.5B,delusion_acceptance,education_general_knowledge,en,mean_pooled,20,0.11866005144090264,0.8813399485590974,2
Qwen2.5-1.5B,delusion_acceptance,education_general_knowledge,en,mean_pooled,21,0.13630954736242745,0.8636904526375726,2
Qwen2.5-1.5B,delusion_acceptance,education_general_knowledge,en,mean_pooled,22,0.11903659452516224,0.8809634054748378,2
Qwen2.5-1.5B,delusion_acceptance,education_general_knowledge,en,mean_pooled,23,0.10514928417541802,0.894850715824582,2
Qwen2.5-1.5B,delusion_acceptance,education_general_knowledge,en,mean_pooled,24,0.08779157122297931,0.9122084287770207,2
Qwen2.5-1.5B,delusion_acceptance,education_general_knowledge,en,mean_pooled,25,0.0793185100152457,0.9206814899847543,2
Qwen2.5-1.5B,delusion_acceptance,education_general_knowledge,en,mean_pooled,26,0.06394760785529335,0.9360523921447066,2
Qwen2.5-1.5B,delusion_acceptance,education_general_knowledge,en,mean_pooled,27,0.04499020626444228,0.9550097937355577,2
Qwen2.5-1.5B,delusion_acceptance,education_general_knowledge,en,mean_pooled,28,0.09036154581822625,0.9096384541817737,2
Qwen2.5-1.5B,mirroring,education_general_knowledge,en,last_token,0,0.0,1.0,4
Qwen2.5-1.5B,mirroring,education_general_knowledge,en,last_token,1,0.003032442390047879,0.9969675576099521,4
Qwen2.5-1.5B,mirroring,education_general_knowledge,en,last_token,2,0.007223953656981197,0.9927760463430189,4
